identity,num_images,emotions
WF-005,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-006,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-007,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-008,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-009,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-010,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-011,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-012,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-013,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-014,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-015,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-016,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-017,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-018,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-019,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-020,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-021,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-022,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-023,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-024,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-025,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-026,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-027,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-028,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-029,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-030,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-031,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-033,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-034,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-035,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-036,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-037,4,"['A', 'F', 'HC', 'N']"
WF-038,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-039,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-002,4,"['A', 'HC', 'HO', 'N']"
WM-003,4,"['A', 'HC', 'HO', 'N']"
WM-004,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-006,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-009,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-010,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-011,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-012,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-013,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-014,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-015,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-016,4,"['A', 'HC', 'HO', 'N']"
WM-017,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-018,4,"['A', 'HC', 'HO', 'N']"
WM-019,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-020,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-021,4,"['A', 'HC', 'HO', 'N']"
WM-022,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-023,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-024,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-025,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-026,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-028,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-029,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-031,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-032,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-033,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-034,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-035,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-036,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-037,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-038,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-039,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-040,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-041,3,"['A', 'HC', 'N']"
