identity,num_images,emotions
BF-015,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-016,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-017,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-018,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-019,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-020,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-021,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-023,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-024,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-025,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-027,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-028,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-029,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-030,4,"['F', 'HC', 'HO', 'N']"
BF-031,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-032,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-033,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-034,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-035,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-036,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-037,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-038,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-039,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-040,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-041,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-042,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-043,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-044,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-045,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-047,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-048,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-049,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-050,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-051,5,"['A', 'F', 'HC', 'HO', 'N']"
BF-200,1,['N']
BF-201,1,['N']
BF-202,1,['N']
BF-203,1,['N']
BF-204,1,['N']
BF-205,1,['N']
BF-206,1,['N']
BF-207,1,['N']
BF-208,1,['N']
BF-209,1,['N']
BF-210,1,['N']
BF-211,1,['N']
BF-212,1,['N']
BF-213,1,['N']
BF-214,1,['N']
BF-215,1,['N']
BF-216,1,['N']
BF-217,1,['N']
BF-218,1,['N']
BF-219,1,['N']
BF-220,1,['N']
BF-221,1,['N']
BF-222,1,['N']
BF-223,1,['N']
BF-224,1,['N']
BF-225,1,['N']
BF-226,1,['N']
BF-227,1,['N']
BF-228,1,['N']
BF-229,1,['N']
BF-230,1,['N']
BF-231,1,['N']
BF-232,1,['N']
BF-233,1,['N']
BF-234,1,['N']
BF-235,1,['N']
BF-236,1,['N']
BF-237,1,['N']
BF-238,1,['N']
BF-239,1,['N']
BF-240,1,['N']
BF-241,1,['N']
BF-242,1,['N']
BF-243,1,['N']
BF-244,1,['N']
BF-245,1,['N']
BF-246,1,['N']
BF-247,1,['N']
BF-248,1,['N']
BF-249,1,['N']
BF-250,1,['N']
BF-251,1,['N']
BF-252,1,['N']
BF-253,1,['N']
BF-254,1,['N']
BF-255,1,['N']
BM-001,4,"['A', 'F', 'HO', 'N']"
BM-002,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-003,4,"['A', 'F', 'HO', 'N']"
BM-004,1,['N']
BM-005,4,"['A', 'F', 'HO', 'N']"
BM-009,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-010,4,"['A', 'F', 'HO', 'N']"
BM-011,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-012,1,['N']
BM-013,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-015,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-016,4,"['A', 'F', 'HO', 'N']"
BM-017,4,"['A', 'F', 'HC', 'N']"
BM-018,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-019,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-020,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-021,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-022,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-023,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-024,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-025,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-026,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-027,1,['N']
BM-028,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-029,4,"['F', 'HC', 'HO', 'N']"
BM-030,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-031,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-032,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-033,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-034,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-036,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-037,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-038,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-039,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-040,4,"['A', 'HC', 'HO', 'N']"
BM-041,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-043,4,"['A', 'HC', 'HO', 'N']"
BM-044,4,"['F', 'HC', 'HO', 'N']"
BM-045,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-046,5,"['A', 'F', 'HC', 'HO', 'N']"
BM-200,1,['N']
BM-201,1,['N']
BM-202,1,['N']
BM-203,1,['N']
BM-204,1,['N']
BM-205,1,['N']
BM-206,1,['N']
BM-207,1,['N']
BM-208,1,['N']
BM-209,1,['N']
BM-210,1,['N']
BM-211,1,['N']
BM-212,1,['N']
BM-213,1,['N']
BM-214,1,['N']
BM-215,1,['N']
BM-216,1,['N']
BM-217,1,['N']
BM-218,1,['N']
BM-219,1,['N']
BM-221,1,['N']
BM-222,1,['N']
BM-223,1,['N']
BM-224,1,['N']
BM-225,1,['N']
BM-226,1,['N']
BM-227,1,['N']
BM-228,1,['N']
BM-229,1,['N']
BM-230,1,['N']
BM-231,1,['N']
BM-232,1,['N']
BM-233,1,['N']
BM-234,1,['N']
BM-235,1,['N']
BM-236,1,['N']
BM-237,1,['N']
BM-238,1,['N']
BM-239,1,['N']
BM-240,1,['N']
BM-241,1,['N']
BM-242,1,['N']
BM-243,1,['N']
BM-244,1,['N']
BM-245,1,['N']
BM-246,1,['N']
BM-247,1,['N']
BM-248,1,['N']
BM-249,1,['N']
BM-250,1,['N']
BM-251,1,['N']
BM-252,1,['N']
BM-253,1,['N']
LF-200,1,['N']
LF-201,1,['N']
LF-202,1,['N']
LF-203,1,['N']
LF-204,1,['N']
LF-205,1,['N']
LF-206,1,['N']
LF-207,1,['N']
LF-208,1,['N']
LF-209,1,['N']
LF-210,1,['N']
LF-211,1,['N']
LF-212,1,['N']
LF-213,1,['N']
LF-214,1,['N']
LF-215,1,['N']
LF-216,1,['N']
LF-217,1,['N']
LF-218,1,['N']
LF-219,1,['N']
LF-220,1,['N']
LF-221,1,['N']
LF-222,1,['N']
LF-223,1,['N']
LF-224,1,['N']
LF-225,1,['N']
LF-226,1,['N']
LF-227,1,['N']
LF-228,1,['N']
LF-229,1,['N']
LF-230,1,['N']
LF-231,1,['N']
LF-232,1,['N']
LF-233,1,['N']
LF-234,1,['N']
LF-235,1,['N']
LF-236,1,['N']
LF-237,1,['N']
LF-238,1,['N']
LF-239,1,['N']
LF-240,1,['N']
LF-241,1,['N']
LF-242,1,['N']
LF-243,1,['N']
LF-244,1,['N']
LF-245,1,['N']
LF-246,1,['N']
LF-247,1,['N']
LF-248,1,['N']
LF-249,1,['N']
LF-250,1,['N']
LF-251,1,['N']
LF-252,1,['N']
LF-253,1,['N']
LF-254,1,['N']
LF-255,1,['N']
LM-200,1,['N']
LM-201,1,['N']
LM-202,1,['N']
LM-203,1,['N']
LM-204,1,['N']
LM-206,1,['N']
LM-207,1,['N']
LM-208,1,['N']
LM-209,1,['N']
LM-210,1,['N']
LM-211,1,['N']
LM-212,1,['N']
LM-213,1,['N']
LM-214,1,['N']
LM-215,1,['N']
LM-216,1,['N']
LM-217,1,['N']
LM-218,1,['N']
LM-219,1,['N']
LM-220,1,['N']
LM-221,1,['N']
LM-222,1,['N']
LM-223,1,['N']
LM-224,1,['N']
LM-225,1,['N']
LM-226,1,['N']
LM-227,1,['N']
LM-228,1,['N']
LM-229,1,['N']
LM-230,1,['N']
LM-231,1,['N']
LM-232,1,['N']
LM-233,1,['N']
LM-234,1,['N']
LM-235,1,['N']
LM-236,1,['N']
LM-237,1,['N']
LM-238,1,['N']
LM-239,1,['N']
LM-240,1,['N']
LM-241,1,['N']
LM-242,1,['N']
LM-243,1,['N']
LM-244,1,['N']
LM-246,1,['N']
LM-247,1,['N']
LM-248,1,['N']
LM-249,1,['N']
LM-250,1,['N']
LM-251,1,['N']
LM-252,1,['N']
LM-253,1,['N']
WF-001,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-002,4,"['A', 'F', 'HC', 'N']"
WF-003,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-005,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-006,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-007,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-008,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-009,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-010,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-011,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-012,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-013,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-014,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-015,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-016,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-017,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-018,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-019,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-020,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-021,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-022,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-023,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-024,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-025,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-026,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-027,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-028,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-029,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-030,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-031,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-033,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-034,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-035,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-036,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-037,4,"['A', 'F', 'HC', 'N']"
WF-038,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-039,5,"['A', 'F', 'HC', 'HO', 'N']"
WF-200,1,['N']
WF-201,1,['N']
WF-202,1,['N']
WF-203,1,['N']
WF-204,1,['N']
WF-205,1,['N']
WF-206,1,['N']
WF-207,1,['N']
WF-208,1,['N']
WF-209,1,['N']
WF-210,1,['N']
WF-211,1,['N']
WF-212,1,['N']
WF-213,1,['N']
WF-214,1,['N']
WF-215,1,['N']
WF-216,1,['N']
WF-217,1,['N']
WF-218,1,['N']
WF-219,1,['N']
WF-220,1,['N']
WF-221,1,['N']
WF-222,1,['N']
WF-223,1,['N']
WF-224,1,['N']
WF-225,1,['N']
WF-226,1,['N']
WF-227,1,['N']
WF-228,1,['N']
WF-229,1,['N']
WF-230,1,['N']
WF-231,1,['N']
WF-232,1,['N']
WF-233,1,['N']
WF-234,1,['N']
WF-235,1,['N']
WF-236,1,['N']
WF-237,1,['N']
WF-238,1,['N']
WF-239,1,['N']
WF-240,1,['N']
WF-241,1,['N']
WF-242,1,['N']
WF-243,1,['N']
WF-244,1,['N']
WF-245,1,['N']
WF-246,1,['N']
WF-247,1,['N']
WF-248,1,['N']
WF-249,1,['N']
WF-250,1,['N']
WF-251,1,['N']
WF-252,1,['N']
WM-001,3,"['HC', 'HO', 'N']"
WM-002,4,"['A', 'HC', 'HO', 'N']"
WM-003,4,"['A', 'HC', 'HO', 'N']"
WM-004,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-006,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-009,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-010,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-011,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-012,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-013,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-014,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-015,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-016,4,"['A', 'HC', 'HO', 'N']"
WM-017,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-018,4,"['A', 'HC', 'HO', 'N']"
WM-019,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-020,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-021,4,"['A', 'HC', 'HO', 'N']"
WM-022,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-023,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-024,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-025,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-026,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-028,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-029,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-031,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-032,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-033,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-034,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-035,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-036,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-037,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-038,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-039,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-040,5,"['A', 'F', 'HC', 'HO', 'N']"
WM-041,3,"['A', 'HC', 'N']"
WM-200,1,['N']
WM-201,1,['N']
WM-202,1,['N']
WM-203,1,['N']
WM-204,1,['N']
WM-205,1,['N']
WM-206,1,['N']
WM-207,1,['N']
WM-208,1,['N']
WM-209,1,['N']
WM-210,1,['N']
WM-211,1,['N']
WM-212,1,['N']
WM-213,1,['N']
WM-214,1,['N']
WM-215,1,['N']
WM-216,1,['N']
WM-217,1,['N']
WM-218,1,['N']
WM-219,1,['N']
WM-220,1,['N']
WM-221,1,['N']
WM-222,1,['N']
WM-223,1,['N']
WM-224,1,['N']
WM-225,1,['N']
WM-227,1,['N']
WM-228,1,['N']
WM-229,1,['N']
WM-230,1,['N']
WM-231,1,['N']
WM-232,1,['N']
WM-233,1,['N']
WM-234,1,['N']
WM-235,1,['N']
WM-236,1,['N']
WM-237,1,['N']
WM-238,1,['N']
WM-239,1,['N']
WM-240,1,['N']
WM-241,1,['N']
WM-242,1,['N']
WM-243,1,['N']
WM-244,1,['N']
WM-245,1,['N']
WM-247,1,['N']
WM-248,1,['N']
WM-249,1,['N']
WM-250,1,['N']
WM-251,1,['N']
WM-252,1,['N']
WM-253,1,['N']
WM-254,1,['N']
WM-255,1,['N']
WM-256,1,['N']
WM-257,1,['N']
WM-258,1,['N']
